Representative	AS	DW	GW	Group	MW	NW	WW
SRR2107216_k141_443719_1_23810495	1	0	0	0	0	0	0
SRR2107216_k141_42000_1_23816103	6	1	0	0	0	0	2
SRR2107216_k141_233313_1_23816106	1	0	0	0	0	0	0
SRR2107216_k141_175745_1_23816108	1	0	0	0	0	0	0
SRR2107216_k141_329118_1_23816109	2	0	0	0	0	0	1
SRR2107216_k141_270883_1_23816115	1	0	0	0	0	0	0
SRR2107216_k141_22793_1_23816117	1	0	0	0	0	0	0
SRR2107216_k141_175747_1_23816123	1	0	0	0	0	0	0
SRR2107216_k141_61038_1_23816127	1	0	0	0	0	0	1
SRR2107216_k141_79765_1_23816130	1	0	0	0	0	0	0
SRR2107216_k141_347651_2_23816132	8	5	3	0	1	1	4
SRR2107216_k141_175748_2_23816138	1	0	0	0	0	0	0
SRR2107216_k141_309383_1_23816144	1	0	0	0	0	0	0
SRR2107216_k141_61039_1_23816149	1	0	0	0	0	0	0
SRR2107216_k141_386389_1_23816158	7	0	0	0	0	1	0
SRR2107216_k141_79767_2_23816168	1	0	0	0	0	0	0
SRR2107216_k141_252461_1_23816171	1	0	0	0	0	0	0
SRR2107216_k141_405155_2_23816183	1	0	0	0	0	0	0
SRR2107216_k141_195183_1_23816184	1	0	0	0	0	0	0
